Datum,Warengruppe,Umsatz,Kategorie,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Monat,Wetterbedingungen
2013-07-01,5.0,317.475874933038,Kuchen,0,6.0,17.8375,15.0,20.0,7.0,Spruehregen oder Schneegriesel hat aufgehoert
2013-07-01,4.0,65.890168799361,Konditorei,0,6.0,17.8375,15.0,20.0,7.0,Spruehregen oder Schneegriesel hat aufgehoert
2013-07-01,2.0,535.856284785361,Broetchen,0,6.0,17.8375,15.0,20.0,7.0,Spruehregen oder Schneegriesel hat aufgehoert
2013-07-01,3.0,201.198425690037,Croissant,0,6.0,17.8375,15.0,20.0,7.0,Spruehregen oder Schneegriesel hat aufgehoert
2013-07-01,1.0,148.828353112183,Brot,0,6.0,17.8375,15.0,20.0,7.0,Spruehregen oder Schneegriesel hat aufgehoert
2013-07-02,1.0,159.79375714468,Brot,0,3.0,17.3125,10.0,,7.0,
2013-07-02,2.0,546.780787392297,Broetchen,0,3.0,17.3125,10.0,,7.0,
2013-07-02,3.0,265.261253994438,Croissant,0,3.0,17.3125,10.0,,7.0,
2013-07-02,4.0,74.5439171827412,Konditorei,0,3.0,17.3125,10.0,,7.0,
2013-07-02,5.0,383.628681612577,Kuchen,0,3.0,17.3125,10.0,,7.0,
2013-07-03,5.0,305.523072325318,Kuchen,0,7.0,21.075,6.0,61.0,7.0,Durchgehender leichter und nicht gefrierender Regen
2013-07-03,4.0,69.2627280649987,Konditorei,0,7.0,21.075,6.0,61.0,7.0,Durchgehender leichter und nicht gefrierender Regen
2013-07-03,3.0,210.260241465493,Croissant,0,7.0,21.075,6.0,61.0,7.0,Durchgehender leichter und nicht gefrierender Regen
2013-07-03,2.0,427.343258749983,Broetchen,0,7.0,21.075,6.0,61.0,7.0,Durchgehender leichter und nicht gefrierender Regen
2013-07-03,1.0,111.885593514353,Brot,0,7.0,21.075,6.0,61.0,7.0,Durchgehender leichter und nicht gefrierender Regen
2013-07-04,1.0,168.864940979931,Brot,0,7.0,18.85,7.0,20.0,7.0,Spruehregen oder Schneegriesel hat aufgehoert
2013-07-04,2.0,454.859641347987,Broetchen,0,7.0,18.85,7.0,20.0,7.0,Spruehregen oder Schneegriesel hat aufgehoert
2013-07-04,3.0,190.686641378586,Croissant,0,7.0,18.85,7.0,20.0,7.0,Spruehregen oder Schneegriesel hat aufgehoert
2013-07-04,4.0,61.490175369225,Konditorei,0,7.0,18.85,7.0,20.0,7.0,Spruehregen oder Schneegriesel hat aufgehoert
2013-07-04,5.0,308.408167942149,Kuchen,0,7.0,18.85,7.0,20.0,7.0,Spruehregen oder Schneegriesel hat aufgehoert
2013-07-05,5.0,355.518770367742,Kuchen,0,5.0,19.975,12.0,,7.0,
